iter	Passed	Remaining
0	486	242704
1	1246	310365
2	2215	367042
3	2424	300685
4	2672	264547
5	2822	232372
6	3197	225208
7	3282	201900
8	3361	183364
9	3415	167352
10	3465	154047
11	3548	144316
12	3604	135039
13	3674	127551
14	3890	125785
15	4555	137795
16	4618	131225
17	4864	130252
18	5434	137586
19	5774	138576
20	6200	141436
21	6483	140876
22	7901	163872
23	8285	164334
24	8463	160810
25	8643	157571
26	9190	161004
27	9525	160574
28	10108	164175
29	10738	168238
30	11162	168885
31	11489	168030
32	12583	178070
33	13420	183933
34	13567	180251
35	13683	176360
36	13743	171974
37	13782	167571
38	13821	163379
39	13859	159383
40	13899	155603
41	14080	153549
42	14198	150896
43	14402	149261
44	14494	146557
45	14701	145101
46	15142	145946
47	15387	144900
48	15647	144017
49	15921	143290
50	16134	142046
51	16216	139713
52	16288	137380
53	16376	135254
54	16439	133007
55	16485	130703
56	16844	130914
57	17038	129847
58	17115	127931
59	17181	125997
60	17267	124267
61	17395	122888
62	17447	121024
63	17575	119734
64	17632	118000
65	17701	116402
66	17766	114821
67	17839	113334
68	17909	111867
69	17964	110356
70	18019	108878
71	18073	107434
72	18129	106047
73	18187	104702
74	18254	103439
75	18299	102094
76	18355	100838
77	18412	99615
78	18461	98381
79	18516	97212
80	18567	96048
81	18624	94939
82	18673	93819
83	18723	92723
84	18771	91650
85	18815	90579
86	18869	89575
87	18920	88580
88	18978	87640
89	19027	86680
90	19083	85769
91	19137	84870
92	19191	83988
93	19247	83131
94	19294	82254
95	19462	81906
96	19690	81808
97	20757	85146
98	21323	86370
99	21592	86369
100	21646	85512
101	21695	84656
102	21797	84014
103	21876	83299
104	22079	83061
105	22889	85080
106	22986	84428
107	23089	83805
108	23174	83129
109	23275	82523
110	23374	81915
111	23729	82206
112	23984	82142
113	24099	81600
114	24594	82339
115	25181	83358
116	25823	84532
117	26577	86038
118	26759	85675
119	27529	87175
120	28643	89719
121	29138	90280
122	29392	90088
123	29772	90278
124	30126	90378
125	30184	89594
126	30232	88794
127	30282	88009
128	30406	87447
129	30471	86727
130	30715	86520
131	31072	86625
132	31544	87042
133	31748	86716
134	31894	86232
135	32034	85740
136	32178	85261
137	32307	84747
138	32529	84483
139	32676	84024
140	32799	83509
141	32884	82905
142	32981	82339
143	33045	81696
144	33102	81044
145	33287	80710
146	33349	80083
147	33418	79482
148	33484	78879
149	33554	78293
150	33610	77683
151	33665	77075
152	33721	76479
153	33781	75898
154	33844	75331
155	33899	74753
156	33989	74258
157	34079	73767
158	34147	73234
159	34218	72714
160	34267	72153
161	34324	71616
162	34386	71092
163	35146	72007
164	35743	72570
165	36285	73008
166	36628	73038
167	36766	72657
168	37817	74069
169	38217	74186
170	38330	73746
171	38469	73361
172	38579	72921
173	38806	72707
174	39292	72972
175	40338	74259
176	40496	73899
177	40951	74080
178	41056	73626
179	41134	73127
180	41331	72843
181	41425	72380
182	41535	71949
183	41609	71460
184	41681	70971
185	41788	70546
186	41859	70065
187	41932	69590
188	41980	69079
189	42150	68771
190	42196	68265
191	42256	67786
192	43087	68537
193	43410	68473
194	43582	68167
195	43668	67731
196	43806	67377
197	43853	66887
198	43891	66388
199	43929	65893
200	43969	65407
201	44006	64919
202	44115	64543
203	44160	64076
204	44209	63618
205	44255	63160
206	44303	62709
207	44353	62266
208	44437	61872
209	44515	61473
210	44567	61042
211	44614	60608
212	44657	60172
213	44697	59735
214	44736	59301
215	44776	58872
216	44821	58454
217	44865	58037
218	44907	57621
219	44955	57216
220	45000	56810
221	45402	56855
222	45580	56618
223	45759	56381
224	45807	55986
225	45851	55589
226	45888	55187
227	45923	54786
