cust_id;date;mobile_eft_all_cnt;active_product_category_nbr;mobile_eft_all_amt;cc_transaction_all_amt;cc_transaction_all_cnt;year_month;year
0;2016-01-01;1.0;2;151.2;0.0;0.0;2016-01;2016
0;2016-02-01;1.0;2;178.7;0.0;0.0;2016-02;2016
0;2016-03-01;2.0;2;37.38;0.0;0.0;2016-03;2016
0;2016-04-01;4.0;2;100.9;0.0;0.0;2016-04;2016
0;2016-05-01;3.0;3;132.28;0.0;0.0;2016-05;2016
0;2016-06-01;1.0;2;79.86;0.0;0.0;2016-06;2016
0;2016-07-01;1.0;2;121.27;0.0;0.0;2016-07;2016
0;2016-08-01;4.0;2;31.54;0.0;0.0;2016-08;2016
0;2016-09-01;4.0;2;93.8;0.0;0.0;2016-09;2016
0;2016-10-01;5.0;2;52.01;0.0;0.0;2016-10;2016
0;2016-11-01;1.0;2;99.68;0.0;0.0;2016-11;2016
0;2016-12-01;3.0;2;125.42;0.0;0.0;2016-12;2016
0;2017-01-01;1.0;2;96.16;0.0;0.0;2017-01;2017
0;2017-02-01;2.0;2;126.91;0.0;0.0;2017-02;2017
0;2017-03-01;2.0;2;107.72;0.0;0.0;2017-03;2017
0;2017-04-01;2.0;2;125.54;0.0;0.0;2017-04;2017
0;2017-05-01;3.0;2;89.81;0.0;0.0;2017-05;2017
0;2017-06-01;2.0;2;137.17;0.0;0.0;2017-06;2017
0;2017-07-01;2.0;2;297.7;0.0;0.0;2017-07;2017
0;2017-08-01;2.0;2;180.64;0.0;0.0;2017-08;2017
0;2017-09-01;1.0;2;212.75;0.0;0.0;2017-09;2017
1;2016-01-01;5.0;3;38.36;241.43;12.0;2016-01;2016
1;2016-02-01;1.0;3;83.03;158.73;15.0;2016-02;2016
1;2016-03-01;1.0;3;18.99;94.21;17.0;2016-03;2016
1;2016-04-01;1.0;3;25.63;19.26;3.0;2016-04;2016
1;2016-05-01;1.0;3;12.0;0.0;12.0;2016-05;2016
1;2016-06-01;1.0;2;71.73;38.0;4.0;2016-06;2016
1;2016-07-01;4.0;3;53.0;24.79;13.0;2016-07;2016
1;2016-08-01;1.0;3;76.0;55.0;4.0;2016-08;2016
1;2016-09-01;1.0;3;47.0;39.4;13.0;2016-09;2016
1;2016-10-01;1.0;3;88.0;61.78;14.0;2016-10;2016
1;2016-11-01;1.0;3;46.0;185.95;28.0;2016-11;2016
1;2016-12-01;1.0;3;21.57;183.23;25.0;2016-12;2016
1;2017-01-01;3.0;3;10.0;414.77;35.0;2017-01;2017
1;2017-02-01;3.0;3;33.77;200.43;22.0;2017-02;2017
1;2017-03-01;1.0;3;19.75;265.09;32.0;2017-03;2017
1;2017-04-01;2.0;3;15.35;604.6;33.0;2017-04;2017
1;2017-05-01;1.0;3;20.62;521.37;24.0;2017-05;2017
1;2017-06-01;1.0;3;45.02;318.62;17.0;2017-06;2017
1;2017-07-01;1.0;3;22.72;979.15;24.0;2017-07;2017
1;2017-08-01;1.0;3;0.0;718.5;17.0;2017-08;2017
1;2017-09-01;1.0;3;49.0;433.4;18.0;2017-09;2017
1;2017-10-01;4.0;3;14.98;122.43;10.0;2017-10;2017
1;2017-11-01;1.0;3;17.18;322.05;17.0;2017-11;2017
1;2017-12-01;2.0;3;39.98;323.15;12.0;2017-12;2017
1;2018-01-01;5.0;3;13.43;192.81;9.0;2018-01;2018
1;2018-02-01;1.0;3;20.96;238.18;8.0;2018-02;2018
1;2018-03-01;1.0;3;72.0;76.1;4.0;2018-03;2018
1;2018-04-01;1.0;3;62.0;292.2;5.0;2018-04;2018
1;2018-05-01;1.0;3;35.0;219.95;4.0;2018-05;2018
1;2018-06-01;1.0;3;4.0;147.86;5.0;2018-06;2018
1;2018-07-01;1.0;3;56.0;233.57;6.0;2018-07;2018
1;2018-08-01;1.0;3;38.0;255.02;11.0;2018-08;2018
1;2018-09-01;1.0;3;0.0;303.8;14.0;2018-09;2018
1;2018-10-01;5.0;3;77.0;253.34;13.0;2018-10;2018
1;2018-11-01;2.0;3;54.0;98.25;13.0;2018-11;2018
1;2018-12-01;1.0;3;49.0;64.09;11.0;2018-12;2018
1;2019-01-01;0.0;3;0.0;72.72;11.0;2019-01;2019
1;2019-02-01;0.0;3;0.0;15.74;8.0;2019-02;2019
2;2016-01-01;4.0;2;15.41;19.15;2.0;2016-01;2016
2;2016-02-01;3.0;2;20.73;49.0;4.0;2016-02;2016
2;2016-03-01;5.0;2;13.41;16.0;4.0;2016-03;2016
2;2016-04-01;2.0;3;29.0;93.0;4.0;2016-04;2016
2;2016-05-01;2.0;3;24.0;0.0;0.0;2016-05;2016
2;2016-06-01;2.0;2;34.02;0.0;0.0;2016-06;2016
2;2016-07-01;2.0;3;108.7;0.0;0.0;2016-07;2016
2;2016-08-01;1.0;3;103.19;0.0;0.0;2016-08;2016
2;2016-09-01;4.0;3;173.25;0.0;0.0;2016-09;2016
2;2016-10-01;2.0;2;146.32;0.0;0.0;2016-10;2016
2;2016-11-01;4.0;3;281.23;18.58;1.0;2016-11;2016
2;2016-12-01;3.0;3;825.15;16.81;4.0;2016-12;2016
2;2017-01-01;1.0;3;406.06;17.66;2.0;2017-01;2017
2;2017-02-01;3.0;3;540.14;13.35;2.0;2017-02;2017
2;2017-03-01;4.0;3;828.64;0.0;0.0;2017-03;2017
2;2017-04-01;2.0;3;1436.46;0.0;0.0;2017-04;2017
2;2017-05-01;5.0;3;1088.34;0.0;0.0;2017-05;2017
2;2017-06-01;3.0;3;823.38;0.0;0.0;2017-06;2017
