cust_id,gender,age,province,religion,work_type,work_sector,tenure
0,F,64,NOH,U,Part-time,Technology,135
1,F,57,ZUI,O,Full-time,Finance,65
2,F,62,NOB,M,Self-employed,Healthcare,224
3,F,22,ZUI,C,Student,,47
5,M,27,ZUI,U,Full-time,Finance,108
6,F,40,NOH,U,Unemployed,,187
7,F,64,GEL,U,Part-time,Public Sector,218
8,F,35,ZUI,J,Part-time,Retail,184
9,M,52,GRO,C,Full-time,Healthcare,216
10,F,31,FLE,M,Full-time,Manufacturing,156
11,F,26,ZUI,U,Full-time,Finance,64
12,M,60,NOB,O,Unemployed,,197
13,F,55,FLE,J,Part-time,Manufacturing,113
14,F,45,NOH,U,Part-time,Public Sector,263
15,M,63,LIM,U,Full-time,Public Sector,70
16,M,35,ZUI,U,Full-time,Healthcare,22
17,F,53,NOH,U,Full-time,Healthcare,92
18,F,52,NOH,C,Full-time,Public Sector,114
19,M,56,NOB,C,Self-employed,Manufacturing,243
20,F,42,GRO,U,Part-time,Healthcare,55
21,M,58,NOH,C,Part-time,Education,206
22,M,29,NOB,U,Full-time,Manufacturing,25
23,M,38,ZUI,U,Unemployed,,186
24,M,54,ZUI,U,Self-employed,Manufacturing,36
25,M,44,FRI,C,Part-time,Retail,228
26,M,22,GRO,M,Part-time,Retail,39
27,F,56,NOH,U,Part-time,Education,142
28,M,40,GEL,C,Full-time,Technology,239
30,M,63,FRI,C,Full-time,Education,101
31,F,63,NOB,U,Part-time,Education,251
32,F,39,DRE,C,Part-time,Public Sector,163
33,M,57,ZUI,U,Unemployed,,226
34,F,43,ZUI,U,Full-time,Manufacturing,203
35,F,23,NOB,O,Full-time,Healthcare,28
36,F,30,NOB,O,Full-time,Finance,65
37,F,53,FRI,J,Full-time,Education,240
38,M,34,NOB,U,Full-time,Education,155
39,M,59,FLE,U,Part-time,Education,46
40,M,60,NOH,C,Full-time,Healthcare,113
43,M,62,GEL,C,Part-time,Retail,229
44,F,53,NOB,U,Full-time,Education,186
45,M,62,NOB,C,Self-employed,Healthcare,253
46,M,28,FLE,U,Part-time,Education,120
47,M,49,ZUI,O,Full-time,Retail,170
49,F,55,GEL,U,Part-time,Retail,202
50,M,54,ZUI,C,Part-time,Retail,40
51,M,31,FRI,U,Full-time,Technology,155
52,F,27,UTR,C,Full-time,Manufacturing,108
53,F,41,ZUI,C,Part-time,Healthcare,59
54,F,64,LIM,U,Full-time,Finance,217
55,F,60,GRO,O,Full-time,Technology,167
57,M,20,ZUI,M,Full-time,Finance,34
58,F,26,GEL,O,Part-time,Public Sector,81
59,M,47,GEL,J,Part-time,Technology,114
60,M,47,NOB,C,Part-time,Retail,68
61,M,20,NOB,O,Student,,35
62,F,24,ZUI,U,Full-time,Education,34
63,F,45,ZUI,U,Full-time,Public Sector,25
64,F,29,GRO,U,Full-time,Technology,125
65,M,32,NOB,U,Full-time,Public Sector,133
66,F,67,ZUI,U,Retired,,234
67,M,39,NOB,U,Full-time,Manufacturing,22
68,M,31,ZEE,J,Full-time,Manufacturing,72
70,F,61,LIM,U,Part-time,Retail,328
71,F,45,GEL,U,Part-time,Public Sector,112
72,F,35,GEL,C,Full-time,Technology,204
73,M,62,ZUI,U,Part-time,Healthcare,243
74,F,47,NOH,J,Full-time,Manufacturing,110
75,M,23,LIM,U,Full-time,Healthcare,50
76,M,52,GEL,O,Full-time,Manufacturing,208
77,F,33,FLE,M,Full-time,Education,180
79,M,32,LIM,U,Full-time,Public Sector,48
80,F,35,NOH,U,Self-employed,Healthcare,155
81,F,47,DRE,J,Full-time,Public Sector,182
84,M,37,OVE,M,Full-time,Healthcare,74
85,M,64,ZUI,M,Full-time,Technology,237
86,F,28,NOB,M,Full-time,Retail,48
87,M,59,GRO,U,Part-time,Healthcare,226
89,M,29,NOH,U,Part-time,Technology,35
90,F,20,ZUI,U,Student,,41
91,M,37,GEL,J,Part-time,Retail,228
92,F,70,GEL,C,Retired,,240
94,M,44,NOB,U,Part-time,Public Sector,68
95,M,56,OVE,U,Full-time,Finance,181
