cust_id,gender,age,province,religion,work_type,work_sector,tenure,work_sector_missing
0,F,64,NOH,U,Part-time,Technology,135,False
1,F,57,ZUI,O,Full-time,Finance,65,False
2,F,62,NOB,M,Self-employed,Healthcare,224,False
3,F,22,ZUI,C,Student,Education,47,True
5,M,27,ZUI,U,Full-time,Finance,108,False
6,F,40,NOH,U,Unemployed,Not Applicable,187,True
7,F,64,GEL,U,Part-time,Public Sector,218,False
8,F,35,ZUI,J,Part-time,Retail,184,False
9,M,52,GRO,C,Full-time,Healthcare,216,False
10,F,31,FLE,M,Full-time,Manufacturing,156,False
11,F,26,ZUI,U,Full-time,Finance,64,False
12,M,60,NOB,O,Unemployed,Not Applicable,197,True
13,F,55,FLE,J,Part-time,Manufacturing,113,False
14,F,45,NOH,U,Part-time,Public Sector,263,False
15,M,63,LIM,U,Full-time,Public Sector,70,False
16,M,35,ZUI,U,Full-time,Healthcare,22,False
17,F,53,NOH,U,Full-time,Healthcare,92,False
18,F,52,NOH,C,Full-time,Public Sector,114,False
19,M,56,NOB,C,Self-employed,Manufacturing,243,False
20,F,42,GRO,U,Part-time,Healthcare,55,False
21,M,58,NOH,C,Part-time,Education,206,False
22,M,29,NOB,U,Full-time,Manufacturing,25,False
23,M,38,ZUI,U,Unemployed,Not Applicable,186,True
24,M,54,ZUI,U,Self-employed,Manufacturing,36,False
25,M,44,FRI,C,Part-time,Retail,228,False
26,M,22,GRO,M,Part-time,Retail,39,False
27,F,56,NOH,U,Part-time,Education,142,False
28,M,40,GEL,C,Full-time,Technology,239,False
30,M,63,FRI,C,Full-time,Education,101,False
31,F,63,NOB,U,Part-time,Education,251,False
32,F,39,DRE,C,Part-time,Public Sector,163,False
33,M,57,ZUI,U,Unemployed,Not Applicable,226,True
34,F,43,ZUI,U,Full-time,Manufacturing,203,False
35,F,23,NOB,O,Full-time,Healthcare,28,False
36,F,30,NOB,O,Full-time,Finance,65,False
37,F,53,FRI,J,Full-time,Education,240,False
38,M,34,NOB,U,Full-time,Education,155,False
39,M,59,FLE,U,Part-time,Education,46,False
40,M,60,NOH,C,Full-time,Healthcare,113,False
43,M,62,GEL,C,Part-time,Retail,229,False
44,F,53,NOB,U,Full-time,Education,186,False
45,M,62,NOB,C,Self-employed,Healthcare,253,False
46,M,28,FLE,U,Part-time,Education,120,False
47,M,49,ZUI,O,Full-time,Retail,170,False
49,F,55,GEL,U,Part-time,Retail,202,False
50,M,54,ZUI,C,Part-time,Retail,40,False
51,M,31,FRI,U,Full-time,Technology,155,False
52,F,27,UTR,C,Full-time,Manufacturing,108,False
53,F,41,ZUI,C,Part-time,Healthcare,59,False
54,F,64,LIM,U,Full-time,Finance,217,False
55,F,60,GRO,O,Full-time,Technology,167,False
57,M,20,ZUI,M,Full-time,Finance,34,False
58,F,26,GEL,O,Part-time,Public Sector,81,False
59,M,47,GEL,J,Part-time,Technology,114,False
60,M,47,NOB,C,Part-time,Retail,68,False
61,M,20,NOB,O,Student,Education,35,True
62,F,24,ZUI,U,Full-time,Education,34,False
63,F,45,ZUI,U,Full-time,Public Sector,25,False
64,F,29,GRO,U,Full-time,Technology,125,False
65,M,32,NOB,U,Full-time,Public Sector,133,False
66,F,67,ZUI,U,Retired,Not Applicable,234,True
67,M,39,NOB,U,Full-time,Manufacturing,22,False
68,M,31,ZEE,J,Full-time,Manufacturing,72,False
70,F,61,LIM,U,Part-time,Retail,328,False
71,F,45,GEL,U,Part-time,Public Sector,112,False
72,F,35,GEL,C,Full-time,Technology,204,False
73,M,62,ZUI,U,Part-time,Healthcare,243,False
74,F,47,NOH,J,Full-time,Manufacturing,110,False
75,M,23,LIM,U,Full-time,Healthcare,50,False
76,M,52,GEL,O,Full-time,Manufacturing,208,False
77,F,33,FLE,M,Full-time,Education,180,False
79,M,32,LIM,U,Full-time,Public Sector,48,False
80,F,35,NOH,U,Self-employed,Healthcare,155,False
81,F,47,DRE,J,Full-time,Public Sector,182,False
84,M,37,OVE,M,Full-time,Healthcare,74,False
85,M,64,ZUI,M,Full-time,Technology,237,False
86,F,28,NOB,M,Full-time,Retail,48,False
87,M,59,GRO,U,Part-time,Healthcare,226,False
89,M,29,NOH,U,Part-time,Technology,35,False
90,F,20,ZUI,U,Student,Education,41,True
91,M,37,GEL,J,Part-time,Retail,228,False
92,F,70,GEL,C,Retired,Not Applicable,240,True
94,M,44,NOB,U,Part-time,Public Sector,68,False
95,M,56,OVE,U,Full-time,Finance,181,False
96,F,52,NOB,U,Full-time,Finance,168,False
98,M,50,GEL,U,Full-time,Technology,218,False
99,M,32,UTR,M,Part-time,Healthcare,96,False
100,F,40,NOH,C,Full-time,Technology,172,False
101,M,65,LIM,J,Retired,Not Applicable,255,True
102,F,20,FRI,C,Unemployed,Not Applicable,30,True
103,M,29,OVE,U,Full-time,Education,117,False
105,F,53,OVE,M,Part-time,Finance,23,False
106,M,56,UTR,M,Full-time,Technology,160,False
107,F,70,GEL,C,Retired,Not Applicable,223,True
108,M,35,ZUI,M,Full-time,Manufacturing,79,False
109,M,76,NOH,C,Retired,Not Applicable,96,True
110,F,30,ZUI,C,Full-time,Public Sector,34,False
111,M,33,ZUI,C,Full-time,Retail,28,False
112,F,21,OVE,U,Part-time,Education,36,False
113,M,25,ZUI,U,Unemployed,Not Applicable,60,True
114,M,32,NOB,U,Self-employed,Public Sector,157,False
115,F,44,ZUI,C,Part-time,Education,49,False
116,M,39,UTR,U,Full-time,Healthcare,93,False
117,F,27,UTR,C,Unemployed,Not Applicable,93,True
118,M,42,UTR,O,Part-time,Healthcare,44,False
119,F,38,GEL,U,Part-time,Healthcare,197,False
120,M,75,NOH,C,Retired,Not Applicable,72,True
121,F,34,NOH,M,Full-time,Retail,192,False
122,M,52,ZUI,U,Full-time,Manufacturing,182,False
123,F,41,ZUI,U,Self-employed,Public Sector,100,False
124,M,75,LIM,U,Retired,Not Applicable,67,True
125,M,50,UTR,U,Full-time,Finance,62,False
126,F,64,OVE,O,Full-time,Public Sector,79,False
127,F,65,ZUI,J,Retired,Not Applicable,105,True
128,F,21,OVE,C,Part-time,Education,38,False
129,M,43,ZUI,J,Self-employed,Manufacturing,136,False
130,M,37,ZUI,J,Part-time,Retail,206,False
131,M,22,ZUI,U,Student,Education,48,True
132,M,23,ZUI,J,Full-time,Manufacturing,40,False
133,M,52,NOB,C,Part-time,Education,239,False
134,F,64,NOB,J,Part-time,Public Sector,66,False
135,F,42,ZUI,J,Part-time,Healthcare,190,False
136,M,27,ZUI,U,Full-time,Technology,108,False
137,F,55,OVE,U,Full-time,Manufacturing,240,False
138,F,43,ZUI,U,Full-time,Finance,47,False
139,M,38,DRE,C,Full-time,Technology,152,False
140,M,37,UTR,J,Full-time,Retail,38,False
141,M,20,GRO,J,Part-time,Education,24,False
142,M,55,ZUI,U,Full-time,Finance,142,False
143,M,66,NOB,C,Retired,Not Applicable,233,True
144,M,33,GRO,C,Full-time,Healthcare,69,False
145,M,80,OVE,U,Retired,Not Applicable,171,True
146,M,42,GEL,U,Full-time,Public Sector,219,False
147,M,19,GEL,U,Part-time,Retail,34,False
148,M,65,FRI,O,Retired,Not Applicable,261,True
149,F,52,ZUI,U,Full-time,Manufacturing,211,False
150,F,55,NOB,C,Unemployed,Not Applicable,144,True
151,M,38,NOH,M,Full-time,Public Sector,103,False
152,F,30,NOB,U,Part-time,Technology,73,False
153,M,54,NOB,O,Full-time,Technology,264,False
154,M,29,ZUI,O,Full-time,Technology,51,False
155,M,39,UTR,U,Full-time,Manufacturing,200,False
