feature,importance
mobile_eft_all_amt_all_sum,8
mobile_eft_all_cnt_all_mean,7
cc_transaction_all_cnt_all_std,6
cc_transaction_all_amt_all_sum,5
cc_transaction_all_amt_all_std,5
active_product_category_nbr_all_sum,4
active_product_category_nbr_all_mean,4
mobile_eft_all_cnt_all_max,4
cc_transaction_all_amt_all_max,3
cc_transaction_all_amt_all_min,3
mobile_eft_all_amt_all_min,3
mobile_eft_all_amt_all_mean,2
cc_transaction_all_cnt_all_max,2
work_type_Full-time,2
recency_days,1
active_product_category_nbr_all_std,1
mobile_eft_all_amt_all_max,1
work_type_Retired,1
age,0
tenure,0
mobile_eft_all_cnt_all_std,0
active_product_category_nbr_all_min,0
active_product_category_nbr_all_max,0
cc_transaction_all_amt_all_mean,0
mobile_eft_all_amt_all_std,0
cc_transaction_all_cnt_all_mean,0
cc_transaction_all_cnt_all_sum,0
mobile_eft_all_cnt_all_sum,0
mobile_eft_all_cnt_all_min,0
gender_F,0
cc_transaction_all_cnt_all_min,0
gender_M,0
province_DRE,0
province_GEL,0
province_GRO,0
province_FLE,0
province_FRI,0
province_NOH,0
province_OVE,0
province_UTR,0
province_ZEE,0
province_ZUI,0
religion_C,0
province_LIM,0
province_NOB,0
religion_M,0
religion_J,0
religion_U,0
religion_O,0
work_type_Part-time,0
work_type_Self-employed,0
work_type_Student,0
work_type_Unemployed,0
work_sector_Bilinmiyor,0
work_sector_Education,0
work_sector_Finance,0
work_sector_Healthcare,0
work_sector_Manufacturing,0
work_sector_Public_Sector,0
work_sector_Retail,0
work_sector_Technology,0
